epoch, reward, loss
246, -0.36, 2.2607
247, 0.35, 2.2564
248, -0.35, 2.2368
249, 0.50, 2.2123
250, -0.01, 2.2144
251, 0.44, 2.1857
252, 0.53, 2.1673
253, -0.24, 2.1621
254, 0.40, 2.1763
255, 1.37, 2.1443
256, 0.98, 2.1367
257, -1.14, 2.1183
258, -0.15, 2.1170
259, 0.08, 2.0989
260, 0.85, 2.0635
261, -0.03, 2.0795
262, 0.64, 2.0479
263, -0.97, 2.0565
264, -0.49, 2.0358
265, -1.32, 2.0339
266, 0.70, 2.0232
267, -0.34, 2.0000
268, -0.37, 1.9955
269, -1.21, 1.9716
270, -0.52, 1.9609
271, -0.00, 1.9670
272, -0.26, 1.9545
273, -0.03, 1.9478
274, 0.06, 1.9389
275, 0.07, 1.9340
276, 1.41, 1.8803
277, 1.34, 1.8855
278, 0.79, 1.8848
279, 0.68, 1.8806
280, 1.09, 1.8624
281, 0.82, 1.8753
282, -0.60, 1.8544
283, 1.07, 1.8245
284, 0.27, 1.8303
285, -0.51, 1.8169
286, -1.22, 1.8119
287, -0.38, 1.7868
288, 0.22, 1.7830
289, 0.21, 1.7800
290, 0.14, 1.7871
291, 0.10, 1.7687
292, -0.33, 1.7532
293, -0.99, 1.7409
294, -0.91, 1.7546
295, -0.02, 1.7335
296, -0.38, 1.7259
297, -1.06, 1.7181
298, -0.31, 1.7011
299, 0.35, 1.6986
300, 1.04, 1.6864
301, 1.05, 1.6821
302, -1.21, 1.6653
303, 1.08, 1.6673
304, -0.36, 1.6601
305, 0.30, 1.6417
306, 0.59, 1.6399
307, 0.81, 1.6420
308, 1.49, 1.6354
309, 0.37, 1.6465
310, 0.70, 1.6395
311, 0.12, 1.6288
312, -0.34, 1.5989
313, 0.45, 1.6040
314, -0.26, 1.5886
315, -0.59, 1.5919
316, -0.73, 1.5644
317, 1.59, 1.5534
318, -0.76, 1.5664
319, -0.76, 1.5523
320, 0.53, 1.5525
321, -0.01, 1.5492
322, 1.19, 1.5373
323, 0.67, 1.5317
324, -0.02, 1.5226
325, 0.85, 1.5144
326, 1.11, 1.5082
327, 0.96, 1.5134
328, -0.60, 1.4962
329, 0.53, 1.4949
330, 1.06, 1.4890
331, -0.21, 1.4733
332, 1.34, 1.4676
333, 0.50, 1.4671
334, 0.86, 1.4645
335, -0.24, 1.4688
336, 0.50, 1.4502
337, 0.49, 1.4539
338, 1.22, 1.4497
339, -0.26, 1.4323
340, 0.17, 1.4279
341, -0.05, 1.4289
342, 0.46, 1.4367
343, 0.44, 1.4170
344, 1.01, 1.4329
345, -0.68, 1.4156
346, -0.08, 1.4127
347, -0.36, 1.3991
348, -0.14, 1.4102
349, -0.77, 1.4043
350, 0.08, 1.4051
351, -0.80, 1.3952
352, 0.60, 1.3999
353, 0.83, 1.3804
354, 0.26, 1.3777
355, 0.15, 1.3613
356, 0.83, 1.3591
357, -0.56, 1.3747
358, 0.19, 1.3558
359, 0.87, 1.3683
360, -0.95, 1.3647
361, 1.46, 1.3576
362, 0.40, 1.3317
363, 1.36, 1.3528
364, -1.26, 1.3576
365, -1.11, 1.3427
366, 0.98, 1.3454
367, 0.64, 1.3331
368, 1.31, 1.3246
369, 0.43, 1.3310
370, 0.67, 1.3381
371, -1.31, 1.3197
372, -0.08, 1.3250
373, 0.16, 1.3139
374, 0.31, 1.3127
375, -0.40, 1.3066
376, 1.15, 1.3057
377, -0.13, 1.3126
378, 1.70, 1.3127
379, -0.24, 1.3137
380, 0.51, 1.3126
381, -0.07, 1.3011
382, 1.50, 1.2928
383, 1.54, 1.2968
384, 0.28, 1.2949
385, 0.38, 1.2857
386, -0.79, 1.2917
387, -0.70, 1.2956
388, 0.57, 1.2962
389, 1.85, 1.2904
390, 0.31, 1.2832
391, 0.12, 1.2873
392, -0.04, 1.2762
393, 0.94, 1.2664
394, 1.12, 1.2707
395, 0.16, 1.2737
396, -1.75, 1.2684
397, -0.30, 1.2759
398, -1.18, 1.2687
399, 0.64, 1.2696
400, -0.40, 1.2680
401, 1.28, 1.2733
402, 0.22, 1.2664
403, -0.28, 1.2623
404, 0.84, 1.2495
405, -0.31, 1.2757
406, 1.58, 1.2622
407, -0.45, 1.2584
408, -1.43, 1.2495
409, -0.31, 1.2511
410, 0.46, 1.2508
411, -0.28, 1.2571
412, 0.89, 1.2519
413, 0.29, 1.2334
414, 1.13, 1.2521
415, -0.69, 1.2308
416, 0.21, 1.2470
417, 0.10, 1.2393
418, -1.19, 1.2460
419, -0.42, 1.2395
420, -0.03, 1.2507
421, -0.20, 1.2478
422, -1.07, 1.2285
423, -0.04, 1.2331
424, 0.43, 1.2357
425, 0.54, 1.2369
426, 0.70, 1.2459
427, -0.15, 1.2403
428, 0.86, 1.2518
429, -1.41, 1.2269
430, 0.05, 1.2310
431, 0.31, 1.2622
432, -0.13, 1.2315
433, -0.03, 1.2357
434, 0.75, 1.2256
435, 1.21, 1.2462
436, 0.77, 1.2405
437, 0.52, 1.2360
438, 0.72, 1.2434
439, -0.11, 1.2366
440, -0.26, 1.2308
441, -0.40, 1.2498
442, 0.25, 1.2388
443, 0.87, 1.2624
444, 0.99, 1.2422
445, -0.73, 1.2284
446, 0.52, 1.2583
447, -0.31, 1.2381
448, 0.42, 1.2416
449, 1.36, 1.2362
450, 0.56, 1.2680
451, -0.57, 1.2514
452, 2.11, 1.2461
453, 0.63, 1.2526
454, 0.52, 1.2293
455, 0.01, 1.2474
456, 0.02, 1.2479
457, -0.24, 1.2579
458, -0.72, 1.2460
459, 1.47, 1.2535
460, 0.12, 1.2599
461, 0.82, 1.2533
462, 0.70, 1.2491
463, -0.21, 1.2811
464, 1.63, 1.2560
465, 1.38, 1.2669
466, 0.34, 1.2403
467, 1.12, 1.2620
468, -1.67, 1.2529
469, -0.70, 1.2749
470, -0.23, 1.2468
471, 0.07, 1.2785
472, -0.84, 1.2474
473, -0.49, 1.2547
474, 0.43, 1.2623
475, -0.10, 1.2368
