epoch, reward, loss
246, -0.27, 10.7277
247, 1.13, 10.6930
248, -0.28, 10.6808
249, -1.22, 10.7037
250, 0.84, 10.7112
251, -0.04, 10.6654
252, 0.51, 10.7332
253, -0.89, 10.6331
254, 0.15, 10.7126
255, -1.13, 10.6528
256, -0.65, 10.7767
257, -0.50, 10.7113
258, -0.44, 10.7036
259, -0.60, 10.6263
260, 0.14, 10.6732
261, 0.73, 10.6839
262, 0.71, 10.6594
263, 0.06, 10.6490
264, 1.21, 10.6799
265, -1.93, 10.6644
266, 0.56, 10.6321
267, 0.72, 10.6890
268, 0.05, 10.6775
269, 0.08, 10.6757
270, -0.86, 10.5755
271, 0.59, 10.6167
272, 0.73, 10.6631
273, 0.23, 10.6317
274, 0.55, 10.6394
275, -0.34, 10.6433
276, 0.72, 10.6293
277, 0.54, 10.6433
278, 0.46, 10.6578
279, 0.03, 10.6499
280, 0.20, 10.6337
281, 1.28, 10.6677
282, 0.63, 10.6025
283, 0.65, 10.5503
284, 0.41, 10.5849
285, -0.16, 10.6228
286, -0.43, 10.5616
287, -0.48, 10.5653
288, 0.21, 10.6408
289, 0.58, 10.5894
290, 0.56, 10.6265
291, -0.71, 10.6093
292, -0.70, 10.6182
293, -0.26, 10.6120
294, 0.14, 10.5747
295, 2.32, 10.5464
296, 0.75, 10.6275
297, -1.39, 10.5893
298, -0.67, 10.5572
299, -0.42, 10.5318
300, 0.42, 10.5784
301, 0.99, 10.6032
302, 0.00, 10.6390
303, 0.26, 10.5884
304, 0.26, 10.5562
305, -0.07, 10.6479
306, 0.11, 10.5788
307, -0.33, 10.5514
308, -0.54, 10.5917
309, -1.35, 10.5632
310, -0.52, 10.4940
311, 0.45, 10.6802
312, 0.06, 10.6322
313, 0.74, 10.5591
314, 1.00, 10.5917
315, 0.06, 10.5529
316, -0.04, 10.5642
317, 0.03, 10.5426
318, 0.21, 10.5714
319, -0.58, 10.5403
320, 0.96, 10.5974
321, -0.45, 10.4908
322, -0.06, 10.5578
323, -0.86, 10.5300
324, 0.25, 10.5867
325, 0.78, 10.5103
326, 0.03, 10.5681
327, -0.80, 10.5161
328, -0.46, 10.4698
329, -0.32, 10.4635
330, 0.23, 10.5008
331, -1.81, 10.5384
332, -0.49, 10.5077
333, -0.15, 10.6169
334, -1.31, 10.5172
